,FinalURL,CustomParameter,Identifier,Keyword,Keyword ID
2890,https://www.overstock.com/Baby/Bumper-Pads/3170/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014336503542&ds_s_kwgid=58700001852876281""}",Generic_Standard_Bedding,crib bumpers,43073802
2891,https://www.overstock.com/search?keywords=&taxonomy=sub6400&searchtype=guidedNav&additionalKeywords=quilted+sham&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014336271522&ds_s_kwgid=58700001850963534""}",Generic_Standard_Bedding,quilted pillow shams,130775945
2892,https://www.overstock.com/search?keywords=&taxonomy=cat4549&searchtype=guidedNav&additionalKeywords=damask&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014344847306&ds_s_kwgid=58700001852874439""}",Generic_Standard_Bedding,damask sheet set,325431123
2893,https://www.overstock.com/Bedding-Bath/Memory-Foam-Mattress-Toppers/4545/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014337641598&ds_s_kwgid=58700001852924968""}",Generic_Standard_Bedding,foam toppers,334857553
2894,"https://www.overstock.com/Bedding-Bath/Fashion-Bedding/Full,/size,/454/dept.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014337694509&ds_s_kwgid=58700001851030014""}",Generic_Standard_Bedding,bedding sets full,6492761563
2895,"https://www.overstock.com/Bedding-Bath/Sheets-Pillowcases/Cotton,/material,/459/dept.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345653354&ds_s_kwgid=58700001850954969""}",Generic_Standard_Bedding,+cotton +sheets,20266267656
2896,https://www.overstock.com/Bedding-Bath/Fashion-Bedding/454/dept.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014336647824&ds_s_kwgid=58700001849921576""}",Generic_Standard_Bedding,ralph lauren bedding,126648945
2897,"https://www.overstock.com/Bedding-Bath/Sheets/1-Piece,/set-includes,/4549/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014337488178&ds_s_kwgid=58700001851010565""}",Generic_Standard_Bedding,single sheets,484494204
2898,https://www.overstock.com/Bedding-Bath/Sheets/4549/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014337508098&ds_s_kwgid=58700001851014468""}",Generic_Standard_Bedding,fleece sheet sets,768047945
2899,"https://www.overstock.com/Bedding-Bath/Fashion-Bedding/Damask,/pattern,/454/dept.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014336262600&ds_s_kwgid=58700001850962088""}",Generic_Standard_Bedding,+damask +bedding,18271828756
2900,https://www.overstock.com/Bedding-Bath/Sheets/4549/cat.html?sort=Lowest%20Price&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014346220652&ds_s_kwgid=58700001851025049""}",Generic_Standard_Bedding,+discount +sheets,20442296881
2901,https://www.overstock.com/Bedding-Bath/Mattress-Pads/4/subcat.html?sort=Recommended&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014337122928&ds_s_kwgid=58700001849915537""}",Generic_Standard_Bedding,home design mattress pads,31440282355
2902,"https://www.overstock.com/Bedding-Bath/Fashion-Bedding/Twin,set,/size,k,/454/dept.html?searchtype=guidedNav&","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014344556210&ds_s_kwgid=58700001850889782""}",Generic_Standard_Bedding,+bedding +sets +twin,32545523369
2903,https://www.overstock.com/Bedding-Bath/Kids-Duvet-Covers/27920/subcat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014344721906&ds_s_kwgid=58700001849864606""}",Generic_Standard_Bedding,kids duvet cover,148833177
2904,"https://www.overstock.com/Bedding-Bath/Mattress-Pads/Full,/size,/4/subcat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014336127048&ds_s_kwgid=58700001852834371""}",Generic_Standard_Bedding,full size mattress pads,160745145
2905,https://www.overstock.com/Bedding-Bath/Daybed-Sets/4539/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014337658800&ds_s_kwgid=58700001849993651""}",Generic_Standard_Bedding,daybed cover,168435540
2906,"https://www.overstock.com/Bedding-Bath/Throws/Fleece,/material,/4535/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014346969529&ds_s_kwgid=58700001852924839""}",Generic_Standard_Bedding,fleece throw blankets,460939556
2907,"https://www.overstock.com/Bedding-Bath/Bedspreads/White,/color,/7242/subcat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014344858910&ds_s_kwgid=58700001849913536""}",Generic_Standard_Bedding,white bedspreads,527295189
2908,"https://www.overstock.com/Bedding-Bath/Fashion-Bedding/Black,/color,/454/dept.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014346176021&ds_s_kwgid=58700001852919160""}",Generic_Standard_Bedding,black bedding sets,3050600917
2909,"https://www.overstock.com/Bedding-Bath/Blankets/Twin-XL,/size,/4534/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014337139155&ds_s_kwgid=58700001849955185""}",Generic_Standard_Bedding,twin xl blankets,3500324745
2910,https://www.overstock.com/Bedding-Bath/Throws/4535/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014346240797&ds_s_kwgid=58700001852936077""}",Generic_Standard_Bedding,+bed +throws,20443904401
2911,"https://www.overstock.com/Bedding-Bath/Duvet-Covers/California-King,/size,/4540/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014336170179&ds_s_kwgid=58700001850912579""}",Generic_Standard_Bedding,+california +king +duvet +cover,25407125596
2912,https://www.overstock.com/search?keywords=&taxonomy=cat4549&searchtype=guidedNav&additionalKeywords=damask&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014344847297&ds_s_kwgid=58700001852874439""}",Generic_Standard_Bedding,+damask +sheets +set,182343442644
2913,"https://www.overstock.com/Bedding-Bath/Throws/Cashmere,/material,/4535/cat.html?sort=Recommended&","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345234075&ds_s_kwgid=58700001849921513""}",Generic_Standard_Bedding,cashmere throws,96233364
